cloud_name,region_name,instance_type,vcpu_count,memory_gb,operating_system,on_demand_price
AWS,il-central-1,r6g.large,2,16,Linux,0.1184
AWS,il-central-1,t3a.nano,2,0,Linux,0.0054
AWS,il-central-1,t4g.nano,2,0,Linux,0.0048
AWS,il-central-1,r6id.large,2,16,Linux,0.1764
AWS,il-central-1,r7g.large,2,16,Linux,0.1258
AWS,il-central-1,c6gn.large,2,4,Linux,0.10248
AWS,il-central-1,t3a.small,2,2,Linux,0.0214
AWS,il-central-1,t3a.large,2,8,Linux,0.0858
AWS,il-central-1,c6in.large,2,4,Linux,0.13451
AWS,il-central-1,t3.medium,2,4,Linux,0.0479
AWS,il-central-1,t4g.micro,2,1,Linux,0.0097
AWS,il-central-1,t3a.medium,2,4,Linux,0.0429
AWS,il-central-1,r6i.large,2,16,Linux,0.14805
AWS,il-central-1,t3.nano,2,0,Linux,0.006
AWS,il-central-1,m6i.large,2,8,Linux,0.11235
AWS,il-central-1,m6g.large,2,8,Linux,0.0903
AWS,il-central-1,i4i.large,2,16,Linux,0.199
AWS,il-central-1,m6id.large,2,8,Linux,0.13892
AWS,il-central-1,m6gd.large,2,8,Linux,0.1058
AWS,il-central-1,c6i.large,2,4,Linux,0.09576
AWS,il-central-1,c5d.large,2,4,Linux,0.114
AWS,il-central-1,t4g.small,2,2,Linux,0.0193
AWS,il-central-1,i3.large,2,15,Linux,0.181
AWS,il-central-1,t3.large,2,8,Linux,0.0958
AWS,il-central-1,c5.large,2,4,Linux,0.101
AWS,il-central-1,c6id.large,2,4,Linux,0.12017
AWS,il-central-1,m5.large,2,8,Linux,0.112
AWS,il-central-1,m7g.large,2,8,Linux,0.0955
AWS,il-central-1,r5d.large,2,16,Linux,0.168
AWS,il-central-1,t3.small,2,2,Linux,0.024
AWS,il-central-1,t4g.large,2,8,Linux,0.0773
AWS,il-central-1,m5d.large,2,8,Linux,0.132
AWS,il-central-1,c6g.large,2,4,Linux,0.0766
AWS,il-central-1,t4g.medium,2,4,Linux,0.0386
AWS,il-central-1,t3.micro,2,1,Linux,0.012
AWS,il-central-1,i3en.large,2,16,Linux,0.263
AWS,il-central-1,r5.large,2,16,Linux,0.148
AWS,il-central-1,t3a.micro,2,1,Linux,0.0107
AWS,ap-northeast-2,x2iedn.4xlarge,16,512,Linux,4.83525
AWS,ap-northeast-2,c4.4xlarge,16,30,Linux,0.907
AWS,ap-northeast-2,c5a.12xlarge,48,96,Linux,2.064
AWS,ap-northeast-2,p2.8xlarge,32,488,Linux,11.72
AWS,ap-northeast-2,x1e.2xlarge,8,244,Linux,2.418
AWS,ap-northeast-2,r6i.4xlarge,16,128,Linux,1.216
AWS,ap-northeast-2,r5b.24xlarge,96,768,Linux,8.544
AWS,ap-northeast-2,c5n.metal,72,192,Linux,4.392
AWS,ap-northeast-2,c6gd.large,2,4,Linux,0.088
AWS,ap-northeast-2,m6id.metal,128,512,Linux,9.3408
AWS,ap-northeast-2,c6gn.xlarge,4,8,Linux,0.195
AWS,ap-northeast-2,c6gd.medium,1,2,Linux,0.044
AWS,ap-northeast-2,i3.xlarge,4,30,Linux,0.366
AWS,ap-northeast-2,r7g.16xlarge,64,512,Linux,4.1344
AWS,ap-northeast-2,r7g.large,2,16,Linux,0.1292
AWS,ap-northeast-2,r7g.12xlarge,48,384,Linux,3.1008
AWS,ap-northeast-2,m5.xlarge,4,16,Linux,0.236
AWS,ap-northeast-2,c7i.24xlarge,96,192,Linux,4.8384
AWS,ap-northeast-2,c5.24xlarge,96,192,Linux,4.608
AWS,ap-northeast-2,c6id.24xlarge,96,192,Linux,5.544
AWS,ap-northeast-2,g5g.metal,64,128,Linux,3.3752
AWS,ap-northeast-2,r5n.large,2,16,Linux,0.178
AWS,ap-northeast-2,c6gn.4xlarge,16,32,Linux,0.78
AWS,ap-northeast-2,m6id.xlarge,4,16,Linux,0.2919
AWS,ap-northeast-2,r5ad.8xlarge,32,256,Linux,2.528
AWS,ap-northeast-2,g5.12xlarge,48,192,Linux,6.97442
AWS,ap-northeast-2,m5a.8xlarge,32,128,Linux,1.696
AWS,ap-northeast-2,c5a.8xlarge,32,64,Linux,1.376
AWS,ap-northeast-2,x2iedn.8xlarge,32,1024,Linux,9.6705
AWS,ap-northeast-2,c6id.2xlarge,8,16,Linux,0.462
AWS,ap-northeast-2,r6id.2xlarge,8,64,Linux,0.7268
AWS,ap-northeast-2,r6id.metal,128,1024,Linux,11.6288
AWS,ap-northeast-2,r7g.metal,64,512,Linux,4.1344
AWS,ap-northeast-2,r5a.16xlarge,64,512,Linux,4.352
AWS,ap-northeast-2,c7i.metal-24xl,96,192,Linux,4.8384
AWS,ap-northeast-2,m5ad.2xlarge,8,32,Linux,0.508
AWS,ap-northeast-2,t3a.medium,2,4,Linux,0.0468
AWS,ap-northeast-2,m6i.xlarge,4,16,Linux,0.236
AWS,ap-northeast-2,i3en.12xlarge,48,384,Linux,6.384
AWS,ap-northeast-2,r6id.32xlarge,128,1024,Linux,11.6288
AWS,ap-northeast-2,m7g.8xlarge,32,128,Linux,1.6048
AWS,ap-northeast-2,g6.24xlarge,96,384,Linux,8.20797
AWS,ap-northeast-2,x1e.xlarge,4,122,Linux,1.209
AWS,ap-northeast-2,m6id.8xlarge,32,128,Linux,2.3352
AWS,ap-northeast-2,m7g.4xlarge,16,64,Linux,0.8024
AWS,ap-northeast-2,m5d.12xlarge,48,192,Linux,3.336
AWS,ap-northeast-2,x2idn.24xlarge,96,1536,Linux,14.50575
AWS,ap-northeast-2,c6gd.xlarge,4,8,Linux,0.176
AWS,ap-northeast-2,c5.9xlarge,36,72,Linux,1.728
AWS,ap-northeast-2,c7g.large,2,4,Linux,0.0816
AWS,ap-northeast-2,m6i.2xlarge,8,32,Linux,0.472
AWS,ap-northeast-2,c6i.16xlarge,64,128,Linux,3.072
AWS,ap-northeast-2,r5d.8xlarge,32,256,Linux,2.768
AWS,ap-northeast-2,m4.10xlarge,40,160,Linux,2.46
AWS,ap-northeast-2,c7i-flex.large,2,4,Linux,0.09576
AWS,ap-northeast-2,c5n.2xlarge,8,21,Linux,0.488
AWS,ap-northeast-2,i3en.metal,96,768,Linux,12.768
AWS,ap-northeast-2,c6id.8xlarge,32,64,Linux,1.848
AWS,ap-northeast-2,m5ad.24xlarge,96,384,Linux,6.096
AWS,ap-northeast-2,r6gd.8xlarge,32,256,Linux,2.2144
AWS,ap-northeast-2,c5n.large,2,5,Linux,0.122
AWS,ap-northeast-2,c4.2xlarge,8,15,Linux,0.454
AWS,ap-northeast-2,m5zn.2xlarge,8,32,Linux,0.812
AWS,ap-northeast-2,inf1.24xlarge,96,192,Linux,5.812
AWS,ap-northeast-2,m7g.medium,1,4,Linux,0.0502
AWS,ap-northeast-2,r6g.large,2,16,Linux,0.122
AWS,ap-northeast-2,r6g.2xlarge,8,64,Linux,0.488
AWS,ap-northeast-2,r5dn.16xlarge,64,512,Linux,6.368
AWS,ap-northeast-2,x2iedn.16xlarge,64,2048,Linux,19.341
AWS,ap-northeast-2,m5a.12xlarge,48,192,Linux,2.544
AWS,ap-northeast-2,z1d.xlarge,4,32,Linux,0.45
AWS,ap-northeast-2,g6e.4xlarge,16,128,Linux,3.69355
AWS,ap-northeast-2,t3a.xlarge,4,16,Linux,0.1872
AWS,ap-northeast-2,x2iedn.metal,128,4096,Linux,38.682
AWS,ap-northeast-2,c6gd.4xlarge,16,32,Linux,0.704
AWS,ap-northeast-2,i4i.xlarge,4,32,Linux,0.403
AWS,ap-northeast-2,m6gd.medium,1,4,Linux,0.0556
AWS,ap-northeast-2,x2idn.32xlarge,128,2048,Linux,19.341
AWS,ap-northeast-2,m4.2xlarge,8,32,Linux,0.492
AWS,ap-northeast-2,c5d.9xlarge,36,72,Linux,1.98
AWS,ap-northeast-2,m5d.large,2,8,Linux,0.139
AWS,ap-northeast-2,r5dn.large,2,16,Linux,0.199
AWS,ap-northeast-2,x2iedn.32xlarge,128,4096,Linux,38.682
AWS,ap-northeast-2,r6gd.2xlarge,8,64,Linux,0.5536
AWS,ap-northeast-2,m7g.2xlarge,8,32,Linux,0.4012
AWS,ap-northeast-2,g3.16xlarge,64,488,Linux,5.68
AWS,ap-northeast-2,c7i-flex.8xlarge,32,64,Linux,1.53216
AWS,ap-northeast-2,m6gd.4xlarge,16,64,Linux,0.8896
AWS,ap-northeast-2,r5ad.4xlarge,16,128,Linux,1.264
AWS,ap-northeast-2,g4dn.4xlarge,16,64,Linux,1.481
AWS,ap-northeast-2,c6g.large,2,4,Linux,0.077
AWS,ap-northeast-2,r5a.large,2,16,Linux,0.136
AWS,ap-northeast-2,i3en.2xlarge,8,64,Linux,1.064
AWS,ap-northeast-2,t3a.small,2,2,Linux,0.0234
AWS,ap-northeast-2,m7g.16xlarge,64,256,Linux,3.2096
AWS,ap-northeast-2,m7i.16xlarge,64,256,Linux,3.9648
AWS,ap-northeast-2,c6gd.12xlarge,48,96,Linux,2.112
AWS,ap-northeast-2,u-9tb1.112xlarge,448,9216,Linux,98.8
AWS,ap-northeast-2,r5ad.16xlarge,64,512,Linux,5.056
AWS,ap-northeast-2,m4.xlarge,4,16,Linux,0.246
AWS,ap-northeast-2,c6i.metal,128,256,Linux,6.144
AWS,ap-northeast-2,t2.xlarge,4,16,Linux,0.2304
AWS,ap-northeast-2,c6i.4xlarge,16,32,Linux,0.768
AWS,ap-northeast-2,r5n.4xlarge,16,128,Linux,1.424
AWS,ap-northeast-2,c6i.24xlarge,96,192,Linux,4.608
AWS,ap-northeast-2,c6i.xlarge,4,8,Linux,0.192
AWS,ap-northeast-2,p3.8xlarge,32,244,Linux,16.936
AWS,ap-northeast-2,c5d.large,2,4,Linux,0.11
AWS,ap-northeast-2,c7i.metal-48xl,192,384,Linux,9.6768
AWS,ap-northeast-2,g6.xlarge,4,16,Linux,0.9896
AWS,ap-northeast-2,g6e.8xlarge,32,256,Linux,5.56762
AWS,ap-northeast-2,r5dn.4xlarge,16,128,Linux,1.592
AWS,ap-northeast-2,t2.micro,1,1,Linux,0.0144
AWS,ap-northeast-2,r6i.12xlarge,48,384,Linux,3.648
AWS,ap-northeast-2,g6e.xlarge,4,32,Linux,2.288
AWS,ap-northeast-2,t2.large,2,8,Linux,0.1152
AWS,ap-northeast-2,r6gd.12xlarge,48,384,Linux,3.3216
AWS,ap-northeast-2,r5ad.24xlarge,96,768,Linux,7.584
AWS,ap-northeast-2,r5.8xlarge,32,256,Linux,2.432
AWS,ap-northeast-2,c6in.32xlarge,128,256,Linux,8.1984
AWS,ap-northeast-2,c7g.16xlarge,64,128,Linux,2.6112
AWS,ap-northeast-2,r7g.8xlarge,32,256,Linux,2.0672
AWS,ap-northeast-2,m6g.2xlarge,8,32,Linux,0.376
AWS,ap-northeast-2,c6g.2xlarge,8,16,Linux,0.308
AWS,ap-northeast-2,i3.16xlarge,64,488,Linux,5.856
AWS,ap-northeast-2,c6in.8xlarge,32,64,Linux,2.0496
AWS,ap-northeast-2,r7i.4xlarge,16,128,Linux,1.2768
AWS,ap-northeast-2,g5.48xlarge,192,768,Linux,20.02809
AWS,ap-northeast-2,c6g.8xlarge,32,64,Linux,1.232
AWS,ap-northeast-2,c6id.metal,128,256,Linux,7.392
AWS,ap-northeast-2,i4i.16xlarge,64,512,Linux,6.442
AWS,ap-northeast-2,inf1.2xlarge,8,16,Linux,0.446
AWS,ap-northeast-2,g6.4xlarge,16,64,Linux,1.62704
AWS,ap-northeast-2,i4i.24xlarge,96,768,Linux,9.6624
AWS,ap-northeast-2,c6id.12xlarge,48,96,Linux,2.772
AWS,ap-northeast-2,g5.xlarge,4,16,Linux,1.237
AWS,ap-northeast-2,m5ad.8xlarge,32,128,Linux,2.032
AWS,ap-northeast-2,t3a.2xlarge,8,32,Linux,0.3744
AWS,ap-northeast-2,m6gd.12xlarge,48,192,Linux,2.6688
AWS,ap-northeast-2,t4g.xlarge,4,16,Linux,0.1664
AWS,ap-northeast-2,m5zn.3xlarge,12,48,Linux,1.218
AWS,ap-northeast-2,c7i.4xlarge,16,32,Linux,0.8064
AWS,ap-northeast-2,m5ad.xlarge,4,16,Linux,0.254
AWS,ap-northeast-2,t4g.medium,2,4,Linux,0.0416
AWS,ap-northeast-2,c4.xlarge,4,7,Linux,0.227
AWS,ap-northeast-2,m5.12xlarge,48,192,Linux,2.832
AWS,ap-northeast-2,r7g.2xlarge,8,64,Linux,0.5168
AWS,ap-northeast-2,t3.large,2,8,Linux,0.104
AWS,ap-northeast-2,u-6tb1.112xlarge,448,6144,Linux,65.867
AWS,ap-northeast-2,m7i.large,2,8,Linux,0.1239
AWS,ap-northeast-2,g3s.xlarge,4,30,Linux,0.934
AWS,ap-northeast-2,r5dn.24xlarge,96,768,Linux,9.552
AWS,ap-northeast-2,r7i.8xlarge,32,256,Linux,2.5536
AWS,ap-northeast-2,m5ad.12xlarge,48,192,Linux,3.048
AWS,ap-northeast-2,c5n.18xlarge,72,192,Linux,4.392
AWS,ap-northeast-2,u7i-6tb.112xlarge,448,6144,Linux,75.74705
AWS,ap-northeast-2,c6in.large,2,4,Linux,0.1281
AWS,ap-northeast-2,g4dn.metal,96,384,Linux,9.624
AWS,ap-northeast-2,c6gn.8xlarge,32,64,Linux,1.56
AWS,ap-northeast-2,m6i.metal,128,512,Linux,7.552
AWS,ap-northeast-2,c5.4xlarge,16,32,Linux,0.768
AWS,ap-northeast-2,c6gd.8xlarge,32,64,Linux,1.408
AWS,ap-northeast-2,c5n.4xlarge,16,42,Linux,0.976
AWS,ap-northeast-2,r5d.2xlarge,8,64,Linux,0.692
AWS,ap-northeast-2,m5d.2xlarge,8,32,Linux,0.556
AWS,ap-northeast-2,t4g.micro,2,1,Linux,0.0104
AWS,ap-northeast-2,r5b.12xlarge,48,384,Linux,4.272
AWS,ap-northeast-2,r5n.2xlarge,8,64,Linux,0.712
AWS,ap-northeast-2,r5n.xlarge,4,32,Linux,0.356
AWS,ap-northeast-2,r5a.2xlarge,8,64,Linux,0.544
AWS,ap-northeast-2,r6id.24xlarge,96,768,Linux,8.7216
AWS,ap-northeast-2,m6i.large,2,8,Linux,0.118
AWS,ap-northeast-2,x1.16xlarge,64,976,Linux,9.671
AWS,ap-northeast-2,g5g.8xlarge,32,64,Linux,1.6876
AWS,ap-northeast-2,r5d.16xlarge,64,512,Linux,5.536
AWS,ap-northeast-2,c7i.xlarge,4,8,Linux,0.2016
AWS,ap-northeast-2,p5en.48xlarge,192,2048,Linux,117.024
AWS,ap-northeast-2,i3.large,2,15,Linux,0.183
AWS,ap-northeast-2,c7g.medium,1,2,Linux,0.0408
AWS,ap-northeast-2,c7g.2xlarge,8,16,Linux,0.3264
AWS,ap-northeast-2,m7i-flex.2xlarge,8,32,Linux,0.47084
AWS,ap-northeast-2,u-12tb1.112xlarge,448,12288,Linux,131.733
AWS,ap-northeast-2,m5.2xlarge,8,32,Linux,0.472
AWS,ap-northeast-2,c6i.8xlarge,32,64,Linux,1.536
AWS,ap-northeast-2,c6gd.16xlarge,64,128,Linux,2.816
AWS,ap-northeast-2,m5d.8xlarge,32,128,Linux,2.224
AWS,ap-northeast-2,t4g.large,2,8,Linux,0.0832
AWS,ap-northeast-2,gr6.4xlarge,16,128,Linux,1.8926
AWS,ap-northeast-2,c5a.24xlarge,96,192,Linux,4.128
AWS,ap-northeast-2,g5g.2xlarge,8,16,Linux,0.6839
AWS,ap-northeast-2,r6i.32xlarge,128,1024,Linux,9.728
AWS,ap-northeast-2,m6id.4xlarge,16,64,Linux,1.1676
AWS,ap-northeast-2,z1d.large,2,16,Linux,0.225
AWS,ap-northeast-2,r5d.metal,96,768,Linux,8.304
AWS,ap-northeast-2,m5.8xlarge,32,128,Linux,1.888
AWS,ap-northeast-2,m5a.16xlarge,64,256,Linux,3.392
AWS,ap-northeast-2,z1d.metal,48,384,Linux,5.4
AWS,ap-northeast-2,c5a.16xlarge,64,128,Linux,2.752
AWS,ap-northeast-2,r5b.metal,96,768,Linux,8.544
AWS,ap-northeast-2,m5zn.large,2,8,Linux,0.203
AWS,ap-northeast-2,m6gd.8xlarge,32,128,Linux,1.7792
AWS,ap-northeast-2,c6id.4xlarge,16,32,Linux,0.924
AWS,ap-northeast-2,r7i.16xlarge,64,512,Linux,5.1072
AWS,ap-northeast-2,c7i.12xlarge,48,96,Linux,2.4192
AWS,ap-northeast-2,r7i.large,2,16,Linux,0.1596
AWS,ap-northeast-2,g4dn.12xlarge,48,192,Linux,4.812
AWS,ap-northeast-2,inf2.xlarge,4,16,Linux,0.90984
AWS,ap-northeast-2,r7i.xlarge,4,32,Linux,0.3192
AWS,ap-northeast-2,g6.2xlarge,8,32,Linux,1.20208
AWS,ap-northeast-2,t3.nano,2,0,Linux,0.0065
AWS,ap-northeast-2,r6g.xlarge,4,32,Linux,0.244
AWS,ap-northeast-2,x2iedn.24xlarge,96,3072,Linux,29.0115
AWS,ap-northeast-2,r5a.4xlarge,16,128,Linux,1.088
AWS,ap-northeast-2,m7i.xlarge,4,16,Linux,0.2478
AWS,ap-northeast-2,i4i.12xlarge,48,384,Linux,4.831
AWS,ap-northeast-2,c6in.24xlarge,96,192,Linux,6.1488
AWS,ap-northeast-2,t2.medium,2,4,Linux,0.0576
AWS,ap-northeast-2,r5ad.xlarge,4,32,Linux,0.316
AWS,ap-northeast-2,i3.2xlarge,8,61,Linux,0.732
AWS,ap-northeast-2,x1e.32xlarge,128,3904,Linux,38.688
AWS,ap-northeast-2,m6i.4xlarge,16,64,Linux,0.944
AWS,ap-northeast-2,r5b.4xlarge,16,128,Linux,1.424
AWS,ap-northeast-2,r5a.xlarge,4,32,Linux,0.272
AWS,ap-northeast-2,r5n.24xlarge,96,768,Linux,8.544
AWS,ap-northeast-2,m6g.8xlarge,32,128,Linux,1.504
AWS,ap-northeast-2,r5n.8xlarge,32,256,Linux,2.848
AWS,ap-northeast-2,i4i.32xlarge,128,1024,Linux,12.8832
AWS,ap-northeast-2,c7i.8xlarge,32,64,Linux,1.6128
AWS,ap-northeast-2,m5d.xlarge,4,16,Linux,0.278
AWS,ap-northeast-2,m5.metal,96,384,Linux,5.664
AWS,ap-northeast-2,r6g.12xlarge,48,384,Linux,2.928
AWS,ap-northeast-2,g5g.xlarge,4,8,Linux,0.5166
AWS,ap-northeast-2,c5d.xlarge,4,8,Linux,0.22
AWS,ap-northeast-2,t3.2xlarge,8,32,Linux,0.416
AWS,ap-northeast-2,i3en.3xlarge,12,96,Linux,1.596
AWS,ap-northeast-2,r5ad.large,2,16,Linux,0.158
AWS,ap-northeast-2,g6.48xlarge,192,768,Linux,16.41595
AWS,ap-northeast-2,m6i.8xlarge,32,128,Linux,1.888
AWS,ap-northeast-2,c6gd.2xlarge,8,16,Linux,0.352
AWS,ap-northeast-2,c5d.12xlarge,48,96,Linux,2.64
AWS,ap-northeast-2,r5.24xlarge,96,768,Linux,7.296
AWS,ap-northeast-2,x2idn.16xlarge,64,1024,Linux,9.6705
AWS,ap-northeast-2,m5.16xlarge,64,256,Linux,3.776
AWS,ap-northeast-2,m7i-flex.8xlarge,32,128,Linux,1.88336
AWS,ap-northeast-2,r6i.2xlarge,8,64,Linux,0.608
AWS,ap-northeast-2,t4g.nano,2,0,Linux,0.0052
AWS,ap-northeast-2,g5.4xlarge,16,64,Linux,1.99691
AWS,ap-northeast-2,m7g.metal,64,256,Linux,3.2096
AWS,ap-northeast-2,x1e.16xlarge,64,1952,Linux,19.344
AWS,ap-northeast-2,m6gd.xlarge,4,16,Linux,0.2224
AWS,ap-northeast-2,m5a.24xlarge,96,384,Linux,5.088
AWS,ap-northeast-2,c4.large,2,3,Linux,0.114
AWS,ap-northeast-2,r5a.8xlarge,32,256,Linux,2.176
AWS,ap-northeast-2,m6i.16xlarge,64,256,Linux,3.776
AWS,ap-northeast-2,c5d.4xlarge,16,32,Linux,0.88
