timestamp,source_provider,source_region,source_ip,target_provider,target_region,target_ip,success,avg_latency,min_latency,max_latency,packet_loss,error,note
2025-08-02T02:09:43.004906,AWS,af-south-1,13.245.236.16,AWS,ap-northeast-1,57.183.18.62,TRUE,45.4,45,46,0,,
2025-08-02T02:09:52.121066,AWS,af-south-1,13.245.236.16,AWS,ap-northeast-2,3.35.173.236,TRUE,12.4,11,20,0,,
2025-08-02T02:10:01.391832,AWS,af-south-1,13.245.236.16,AWS,ap-south-1,3.110.78.219,TRUE,138.5,138,139,0,,
2025-08-02T02:10:10.597494,AWS,af-south-1,13.245.236.16,AWS,ap-southeast-1,13.229.101.72,TRUE,79.9,79,80,0,,
2025-08-02T02:10:19.894141,AWS,af-south-1,13.245.236.16,AWS,ca-central-1,35.183.113.19,TRUE,185.9,185,186,0,,
2025-08-02T02:10:29.284942,AWS,af-south-1,13.245.236.16,AWS,eu-central-1,18.184.239.190,TRUE,272.7,271,286,0,,
2025-08-02T02:10:38.693293,AWS,af-south-1,13.245.236.16,AWS,eu-south-2,51.48.91.118,TRUE,288.6,288,289,0,,
2025-08-02T02:10:48.091270,AWS,af-south-1,13.245.236.16,AWS,eu-west-1,63.33.190.43,TRUE,273.6,273,274,0,,
2025-08-02T02:10:57.499774,AWS,af-south-1,13.245.236.16,AWS,me-south-1,157.175.182.59,TRUE,295,295,295,0,,
2025-08-02T02:11:06.937860,AWS,af-south-1,13.245.236.16,AWS,sa-east-1,52.67.230.2,TRUE,304.4,304,305,0,,
2025-08-02T02:11:16.238982,AWS,af-south-1,13.245.236.16,AWS,us-east-1,13.223.204.77,TRUE,185.9,185,187,0,,
2025-08-02T02:11:25.485329,AWS,af-south-1,13.245.236.16,AWS,us-west-1,54.193.216.187,TRUE,122.6,122,123,0,,
2025-08-02T02:11:34.653952,AWS,af-south-1,13.245.236.16,GCP,asia-east2,34.92.77.143,TRUE,42.7,42,44,0,,
2025-08-02T02:11:43.813578,AWS,af-south-1,13.245.236.16,GCP,asia-northeast1,34.146.113.141,TRUE,36.2,35,38,0,,
2025-08-02T02:11:53.095377,AWS,af-south-1,13.245.236.16,GCP,asia-south1,34.93.67.233,TRUE,138.9,136,155,0,,
2025-08-02T02:12:02.276643,AWS,af-south-1,13.245.236.16,GCP,asia-southeast1,34.126.128.161,TRUE,78.3,78,80,0,,
2025-08-02T02:12:11.520719,AWS,af-south-1,13.245.236.16,GCP,australia-southeast1,35.244.90.228,TRUE,135.8,134,142,0,,
2025-08-02T02:12:20.883163,AWS,af-south-1,13.245.236.16,GCP,europe-central2,34.118.31.88,TRUE,265.5,265,267,0,,
2025-08-02T02:12:30.255884,AWS,af-south-1,13.245.236.16,GCP,europe-west12,34.17.122.250,TRUE,258.1,257,261,0,,
2025-08-02T02:12:39.629645,AWS,af-south-1,13.245.236.16,GCP,europe-west4,34.13.152.183,TRUE,244.7,244,246,0,,
2025-08-02T02:12:48.923354,AWS,af-south-1,13.245.236.16,GCP,northamerica-northeast1,34.152.17.65,TRUE,186,185,189,0,,
2025-08-02T02:12:58.342412,AWS,af-south-1,13.245.236.16,GCP,southamerica-east1,34.95.199.13,TRUE,291,290,293,0,,
2025-08-02T02:13:07.655846,AWS,af-south-1,13.245.236.16,GCP,us-east4,35.245.136.40,TRUE,179.4,178,187,0,,
